id,label,audio_concept_subset
5172008207777792,crickets,everyday
5192013360136192,harmonica,everyday
5192220860743680,pouring water,everyday
5201715154386944,crash cymbal (bowed),acoustic instruments
5202038619111424,whistle (instrument),everyday
5204564059881472,bass (bowed),acoustic instruments
5214725415632896,trombone,acoustic instruments
5223453862920192,subsynth 2208,single synthesizer
5241665061126144,guitar,acoustic instruments
5261660549808128,subsynth 2238,single synthesizer
5272083898564608,cash register,everyday
5274932804059136,boat horn,everyday
5296433947213824,swords,everyday
5308904384757760,machine gun,everyday
5312745696133120,hihat,acoustic instruments
5316574927912960,gong,everyday
5325915139604480,chewing,everyday
5332750848491520,breathing cyborg,commercial synthesizers
5332958349099008,piano,acoustic instruments
5337904809246720,turning pages,everyday
5342776107466752,woodblock,acoustic instruments
5355462903988224,glass breaking,everyday
5364191351275520,horn,acoustic instruments
5369351486046208,subsynth 8074,single synthesizer
5382402549481472,rain,everyday
5402398038163456,photon blast,commercial synthesizers
5437171435569152,drill,everyday
5449641873113088,zipper,everyday
5453483184488448,rattlesnake,everyday
5466652627959808,can crush,everyday
5473488336846848,violin (plucked),acoustic instruments
5473695837454336,hammering,everyday
5478642297602048,blinds,everyday
5483190131097600,subsynth 2039,single synthesizer
5483513595822080,helicopter,everyday
5486039036592128,subsynth 1768,single synthesizer
5496200392343552,freaky moonlight,commercial synthesizers
5523140037836800,subsynth 2186,single synthesizer
5543857081024512,ocean,everyday
5553558875275264,yawning,everyday
5556407780769792,crumpling paper,everyday
5577908923924480,shimmer,commercial synthesizers
5578319898607616,donkey,everyday
5590379361468416,triangle,acoustic instruments
5594220672843776,subsynth 2198,single synthesizer
5598049904623616,violin,everyday
5607390116315136,cello (bowed),acoustic instruments
5614433325809664,bell swarm,commercial synthesizers
5619278048919552,crow,everyday
5619379785957376,alto sax,acoustic instruments
5624251084177408,classic synth brass,commercial synthesizers
5637445223710720,subsynth 3388,single synthesizer
5640821604876288,subsynth 2447,single synthesizer
5645666327986176,burp,everyday
5645768065024000,dark attack bass,commercial synthesizers
5650826462756864,orbit station,commercial synthesizers
5660166674448384,feedback,commercial synthesizers
5663877526192128,bongos,everyday
5683462040190976,subsynth 2078,single synthesizer
5683873014874112,whistling (lips),everyday
5695932477734912,abyss of despair,commercial synthesizers
5707306624876544,subsynth 5940,single synthesizer
5734958161199104,bowling,everyday
5754963313557504,doorbell,everyday
5764665107808256,vibraphone (bowed),acoustic instruments
5767514013302784,oboe,acoustic instruments
5777675369054208,velcro,everyday
5786403816341504,subsynth 2002,single synthesizer
5804615014547456,bass (plucked),acoustic instruments
5824610503229440,subsynth 2013,single synthesizer
5835033851985920,bagpipes,everyday
5837882757480448,wind,everyday
5859383900635136,pinball,everyday
5871854338179072,frog,everyday
5875695649554432,bassoon,acoustic instruments
5879524881334272,dog barking,everyday
5888865093025792,lion,everyday
5895700801912832,shadowland highs,commercial synthesizers
5895908302520320,sonar,everyday
5900854762668032,horse galloping,everyday
5905726060888064,tea kettle,everyday
5918412857409536,cymbals,everyday
5927141304696832,castanet,acoustic instruments
5932301439467520,subsynth 2222,single synthesizer
5945352502902784,tearing paper,everyday
5965347991584768,clave,acoustic instruments
5977407454445568,subsynth 5548,single synthesizer
6000121388990464,child coughing,everyday
6016433137909760,clapping,everyday
6029602581381120,woodpecker,everyday
6036438290268160,stapler,everyday
6036645790875648,knocking,everyday
6041592251023360,wind chimes,everyday
6046140084518912,little summer boy,commercial synthesizers
6046463549243392,drums,everyday
6048988990013440,dark synth pad,commercial synthesizers
6059150345764864,air machine,commercial synthesizers
6086089991258112,subsynth 1828,single synthesizer
6116508828696576,mosquito,everyday
6119357734191104,dropping ice in glass,everyday
6140858877345792,crash cymbal (mallet roll),acoustic instruments
6141269852028928,shuffling cards,everyday
6153329314889728,typewriter (manual),everyday
6157170626265088,subsynth 1886,single synthesizer
6160999858044928,saxophone,everyday
6170340069736448,thaigong,acoustic instruments
6177175778623488,subsynth 2917,single synthesizer
6177383279230976,reversed envelope,commercial synthesizers
6182228002340864,camera,everyday
6182329739378688,xylophone,acoustic instruments
6187201037598720,slow warm swells,commercial synthesizers
6199887834120192,accordian,everyday
6208616281407488,truck,everyday
6208718018445312,subsynth 2160,single synthesizer
6213776416178176,ghost in the machine,commercial synthesizers
6223116627869696,subsynth 2214,single synthesizer
6226827479613440,explosion,everyday
6246822968295424,water bubbling,everyday
6258882431156224,subsynth 2007,single synthesizer
6281596365701120,whip,everyday
6297908114620416,firecrackers,everyday
6317913266978816,blowing nose,everyday
6318120767586304,banjo,everyday
6327615061229568,resonant clouds,commercial synthesizers
6327938525954048,birds chirping,everyday
6330463966724096,guiro,acoustic instruments
6340625322475520,chinese cymbal (hit with a stick),acoustic instruments
6349353769762816,subsynth 499,single synthesizer
6367564967968768,sparkle motion,commercial synthesizers
6387560456650752,subsynth 8828,single synthesizer
6397983805407232,door closing,everyday
6400832710901760,cork popping,everyday
6422333854056448,windgong,acoustic instruments
6434804291600384,clearing throat,everyday
6438645602975744,synth evolving lead,commercial synthesizers
6442474834755584,laughing,everyday
6451815046447104,rooster,everyday
6458650755334144,marble on a journey,commercial synthesizers
6458858255941632,vibraphone (sustained),acoustic instruments
6463804716089344,police siren,everyday
6468676014309376,violin (bowed),acoustic instruments
6481362810830848,gargling,everyday
6490091258118144,synth metallic stars,commercial synthesizers
6508302456324096,brushing teeth,everyday
6528297945006080,anti matter clouds,commercial synthesizers
6563071342411776,harp,everyday
6575541779955712,can opening,everyday
6579383091331072,train,everyday
6583212323110912,airplane,everyday
6592552534802432,cuckoo clock,everyday
6599388243689472,viola (bowed),acoustic instruments
6599595744296960,motorcycle,everyday
6604542204444672,coin dropping,everyday
6609090037940224,subsynth 2248,single synthesizer
6609413502664704,owl,everyday
6611938943434752,subsynth 2176,single synthesizer
6622100299186176,subsynth 2009,single synthesizer
6649039944679424,subsynth 4708,single synthesizer
6669756987867136,basketball,everyday
6679458782117888,sheep,everyday
6682307687612416,pullchain lightswitch,everyday
6703808830767104,bullet time,commercial synthesizers
6704219805450240,guitar,everyday
6716279268311040,cello (plucked),acoustic instruments
6720120579686400,subsynth 4768,single synthesizer
6723949811466240,trumpet,acoustic instruments
6733290023157760,marimba (hit with a rubber mallet),acoustic instruments
6740333232652288,marble in a glass bowl,commercial synthesizers
6745177955762176,flute,everyday
6745279692800000,flute,acoustic instruments
6750150991020032,mister frosty,commercial synthesizers
